PERIOD	SM0	SM1	SM2	SM3	SM4	SM5	L2	MC1	MC2	MC3
2.7639579878e-07	8.467919e+00	8.959762e+00	8.690778e+00	8.080548e+00	8.042435e+00	7.989084e+00	1.431686e-01	2.881339e-01	2.881339e-01	2.881339e-01
2.7639579878e-07	8.841926e+00	8.179639e+00	8.374276e+00	8.382373e+00	8.790738e+00	8.502185e+00	1.240297e-01	2.724318e-01	2.724318e-01	2.724318e-01
2.7639579878e-07	8.262182e+00	8.701841e+00	8.767484e+00	8.336798e+00	8.231485e+00	8.369290e+00	1.543536e-01	2.449531e-01	2.449531e-01	2.449531e-01
2.7639579878e-07	8.639359e+00	7.618977e+00	8.204461e+00	8.158456e+00	8.604431e+00	7.856374e+00	1.426715e-01	2.779275e-01	2.779275e-01	2.779275e-01
2.7639579878e-07	8.228646e+00	8.697547e+00	8.796223e+00	8.519176e+00	8.293487e+00	8.272168e+00	1.463998e-01	2.928445e-01	2.928445e-01	2.928445e-01
2.7639579878e-07	8.769425e+00	8.362818e+00	8.510708e+00	8.401084e+00	8.636639e+00	8.328674e+00	1.265153e-01	2.975552e-01	2.975552e-01	2.975552e-01
2.7639579878e-07	8.747512e+00	8.723617e+00	8.121686e+00	8.692284e+00	8.559515e+00	8.208118e+00	1.352148e-01	2.418126e-01	2.418126e-01	2.418126e-01
2.7639579878e-07	8.184630e+00	8.076386e+00	8.502878e+00	7.830732e+00	8.112743e+00	8.771474e+00	1.362090e-01	3.054062e-01	3.054062e-01	3.054062e-01
2.7639579878e-07	8.423361e+00	8.366367e+00	8.719894e+00	8.896560e+00	8.434373e+00	8.578846e+00	1.640474e-01	2.747871e-01	2.747871e-01	2.747871e-01
2.7639579878e-07	8.312203e+00	8.531924e+00	8.713948e+00	8.585377e+00	8.088583e+00	8.217012e+00	1.183129e-01	2.598701e-01	2.598701e-01	2.598701e-01
2.7639579878e-07	8.267099e+00	8.065126e+00	8.201252e+00	8.422735e+00	8.761774e+00	8.368797e+00	1.473941e-01	2.794977e-01	2.794977e-01	2.794977e-01
2.7639579878e-07	8.353460e+00	8.366504e+00	8.412218e+00	8.581790e+00	8.366505e+00	8.336806e+00	1.486368e-01	2.606552e-01	2.606552e-01	2.606552e-01
2.7639579878e-07	8.055957e+00	8.522259e+00	8.455111e+00	8.696994e+00	8.424934e+00	9.014479e+00	1.275095e-01	2.630105e-01	2.630105e-01	2.630105e-01
2.7639579878e-07	7.746912e+00	7.980149e+00	8.738338e+00	8.687696e+00	8.283448e+00	8.505206e+00	1.513710e-01	2.551595e-01	2.551595e-01	2.551595e-01
2.7639579878e-07	8.557482e+00	8.317474e+00	8.303478e+00	7.990638e+00	8.244561e+00	7.802982e+00	1.506253e-01	2.928445e-01	2.928445e-01	2.928445e-01
